OC	MC
gˤut	hwo
qʰˤaʔ	xu
qʰˤaʔ	xu
qʰˤaʔ	xu
qʰˤraʔ 	xu
gˤaʔ	hu
mqʷˤaʔ	hu
mqˤaʔ	hu
mqˤaʔ	hu
mqˤaʔ	hu
Nqˤaʔ	hu
ɢʷˤa	hu
ɢʷˤak	hu
mqˤaʔ	hu
mqˤaʔ	hu
qʰˤa	xu
qʷʰa	xju
qʷʰˤra	xwae
qʷʰˤra	xwae
Cgʷˤraj 	hwae
Nqʷʰˤra	hwae
Nəәgˤrut	hwea
gˤrut	hwea
gˤrut	hwea
qʷʰˤra	xwae
gˤorʔ 	hwae
mkˤorʔ	hwae
ɢʷˤra	hwae
gʷˤrat	hwaej
Cgʷˤrek	hwea
mqʷʰˤrek	hwea
gʷˤrek	hweak
gʷˤrek	hweak
qʷʰˤaj	xwae
qʷʰˤrek	xweak
gˤuj	hweaj
gˤruj	hweaj
ɢʷˤrij	hweaj
gˤuj	hwoj
Nkˤuj	hweaj
mkˤuj	hweaj
Nkˤujʔ	hwoj
mkˤujʔ	hwoj
kʷˤujʔ	kweaj
qʷʰar	xjwon
qʷʰˤar	xwan
qʷʰˤar	xwan
qʷʰˤar	xwan
qʷʰˤar	xwan
Cɢʷˤen	hwaen
ɢʷˤen	hwaen
ɢʷˤen	hwaen
ɢʷˤar	hwan
ɢʷˤar	hwan
ɢʷˤar	hwan
ɦʷˤar 	hwan
qʷʰar	xjwon
ɢʷˤanʔ	hwan
gˤron	hwaen
ɢʷˤren	hwaen
mkʷˤan	hwaen
gˤorʔ	hwan
ɢˤonʔ	hwan
ɢʷˤan	hwan
qʷʰˤan	xwan
m̥  ˤaŋ	xwan
m̥  ˤaŋ	xwan
m̥  ˤaŋ	xwan
Nkʷˤaŋ	hwan
ɢʷˤaŋ	hwan
ɢʷˤaŋ	hwan
ɢʷˤaŋ	hwan
ɢʷˤaŋ	hwan
ɢʷˤaŋ	hwan
ɢʷˤaŋ	hwan
ɢʷˤaŋ	hwan
m̥  ˤaŋ	xwan
m̥  ˤaŋʔ	xwan
m̥  ˤaŋʔ	xwan
m̥  ˤaŋʔ	xwan
lˤojʔ	dwa
m̥  əәj	xjw+j
qʷʰəәr	xjw+j
qʷʰəәr	xjw+j
qʷʰəәr	xjw+j
qʷʰəәr	xjw+j
qʷʰəәr	xjw+j
l̥ oj 	xjwie
l̥ oj	xjwie
r̥ ˤuj 	xwoj
m̥  ˤəә	xwoj
ɢʷˤəәj	hwoj
ɢʷˤəәj	hwoj
r̥ ujʔ 	xjw+j
m̥  əәjʔ	xjw+j
r̥ ujʔ 	xjw+j
m̥  ajʔ	xjwe
qʷʰarʔ 	xjwe
m̥  ˤəәʔ	xwoj
qʷat	jwoj
mkˤop	hwaj
ɦʷˤajs 	hwaj
ɢʷˤet	hwej
ɢʷˤij	hwej
ɢʷˤij	hwej
gˤurʔ	hwoj
tl̥ orʔ	tsyhwej
l̥ oj 	xjwie
l̥ orʔ 	xjwoj
qʷʰat	xjwoj
qʷʰˤat	xwaj
qʷʰˤit	xwej
qʷʰˤəәʔ	xwoj
m̥  ˤəә	xwoj
m̥  ˤəәk	xwoj
qʰˤuj	xwoj
sɢʷet	zjwej
m̥  ˤun	xwon
m̥  ˤun	xwon
gˤur	hwon
mqʷˤəәn	hwon
ɢʷˤəәr	hwon
gˤurʔ	hwon
gʷˤat	hwa
gʷˤajʔ	hwa
qʷʰˤəәjʔ	xwa
gʷˤajʔ	hwa
mqʷˤrak	hwae
mqʷˤak	hwak
mqʷˤrak	hweak
mqʷˤrak	hweak
ɢʷˤəәk	hwok
ɢʷˤəәk	hwok
qʷʰˤaj	xwa
qʷʰˤat	xwa
gəәr 	gj+j
Cəәgrek	gjaek
kˤer 	kej
kˤer  	kej
kˤe	kej
kˤe	kej
kˤij	kej
kˤij	kej
kˤij	kej
kˤij	kej
kˤewk	kek
kˤik	kek
kəә	ki
kəә	ki
kəә	ki
Cəәkəәj	kij
krəәj	kij
krəәjʔ	kij
kəәj	kj+j
kəәj	kj+j
kəәj	kj+j
kaj	kje
kraj	kje
tsˤij	tsej
tsˤəәj	tsej
tsˤəәj	tsej
tsˤek	tsek
tsek	tsjek
dzup	dzi
dzup	dzi
dzit	dzi
dzAk	dzjek
dzAk	dzjek
gəәk	gik
mkrəәp	gi
grit	gi
kəәk	kik
krəәk	kik
krəәk	kik
kəәp	ki
kəәp	ki
Cqit 	kji
tsik	tsik
tsik	tsik
sqrip 	tsi
tsik	tsi
tsəәp 	tsje
sqip	tsri
tsup	tsri
kəәʔ	ki
kəәʔ	ki
kəәʔ	ki
Ckrəәjʔ	kij
kəәp	ki
kəәjʔ	kj+j
krak	kjaek
krak	kjaek
tsˤijʔ	tsej
tsˤəәjʔ	tsej
tsˤəәjʔ	tsej
tsˤijʔ	tsej
tsek	tsjek
dzˤəәjʔ	dzej
sdˤiwk	dzek
mkəәk	gi
mkrəәp	gij
gajʔ	gje
greʔ	gje
greʔ	gje
gre	gje
gʷit	gjwij
Cəәkˤe	kej
kˤe	kej
kˤit	kej
kˤij	kej
Ckəә	ki
krəәt 	kij
kəәt	kj+j
Ckaj	kje
kat	kjej
ket	kjej
ket 	kjiej
kʷit	kjwij
tsˤij	tsej
tsˤij	tsej
tsˤek	tsek
tsəәk	tsik
tsat	tsjej
tsap	tsjej
tset	tsjej
tsek	tsjek
tsek	tsjek
tsek	tsjek
tsek	tsjek
kˤaj	kae
kˤra	kae
kˤra	kae
kˤraj	kae
Ckˤep 	kae
kˤep	kea
kˤep	ke
kˤrik	kea
kop	kjae
Cəәkˤraʔ	kae
Cəәkˤraʔ	kae
kˤraʔ	kae
kˤraʔ	kae
kˤrap	kae
Cqˤaʔ 	kae
Cqˤaʔ 	kae
kˤra	kae
kˤra	kae
kˤraj	kae
skˤra	kae
kˤre	kea
dzˤan	dzan
kˤram	kaem
kˤran	kaen
krˤan 	kean
krˤen 	kean
kˤren	kean
kˤren	kean
kˤrəәr	kean
kˤrəәr	kean
kˤrəәr	kean
kˤem	kem
kˤem	kem
kˤen	ken
kˤen	ken
kˤer 	ken
kˤiŋ	ken
Cqan	kjon
tsam	tsjem
tsom	tsjem
gramʔ	gjem
mkˤrəәmʔ	heam
kˤrəәmʔ	keam
kˤranʔ	kean
kˤranʔ	kean
kˤrenʔ	kean
kˤrenʔ	kean
kˤenʔ	ken
kramʔ	kjem
krenʔ	kjen
Cəәtsamʔ	tsjem
tsenʔ	tsjen
Ntsˤəәn	dzen
Ntsˤəәn	dzen
Ntsˤəәn	dzen
dzˤəәn	dzen
dzamʔ	dzjem
dzanʔ	dzjen
dzenʔ	dzjen
dzan	dzjen
granʔ 	gjen
gˤramʔ	haem
gˤramʔ	haem
gˤamʔ	ham
kˤram	kaem
kˤran 	kaen
kˤranʔ 	kaen
kˤen	ken
skram	kjaem
kan	kjon
tsˤim	tsem
Cəәtsˤəәr	tsen
tsan	tsjen
tsen	tsjen
kˤroŋ	kaewn
Cqaŋ	kjan
kaŋ	kjan
kaŋ	kjan
kaŋ	kjan
tsaŋ	tsjan
tsaŋ	tsjan
kˤroŋʔ	kaewn
tsaŋʔ	tsjan
sbaŋ	dzjan
kˤroŋ	kaewn
kˤruŋ 	kaewn
tsaŋ	tsjan
tsaŋ	tsjan
kˤraw	kaew
kˤraw	kaew
kˤraw	kaew
kˤriw	kaew
skˤraw	kaew
kˤew	kew
stˤiw	tsew
Stew	tsjew
Stew	tsjew
Stew	tsjew
kˤriwʔ	kaew
krˤiwʔ 	kaew
kˤruʔ	kaew
məәkˤrawʔ	kaew
Ckˤrok	kaewk
kˤewʔ	kew
kak	kjak
kak	kjak
kawʔ	kjew
tsawʔ	tsjew
dzewk	dzjew
kˤruk	kaew
kˤruk	kaew
skˤraw	kaew
kˤew	kew
kˤewk	kew
mkat	gje
mkat	gjo
gˤrəәj	heaj
kˤre	kea
kˤrij	keaj
kˤrij	keaj
kˤrəәj	keaj
kˤrit	kea
kʰat	khjej
kʰat	khje
kat	kjo
tsAj	tsjae
tsap	tsje
tsap	tsje
dzˤet	dze
dzap	dzje
Nkat	gje
Nkat	gje
Nkat	gje
mkat	gje
kˤit	kea
kˤet	ke
kˤit	ke
kˤit	ke
kˤit	ke
kʰit	khji
kap	kjae
kat	kje
tsˤik	tse
tsˤik	tse
tsap	tsje
kˤreʔ	kea
dzAk	dzjae
dzAk	dzjae
kˤat	kaej
Ckˤrep	keaj
kˤret	keaj
kˤret	keaj
kˤrep	keaj
kˤrit	keaj
kˤrəәk 	keaj
kˤrəәk	keaj
tsAk	tsjae
tsAk	tsjek
krəәm	kim
kəәm	kim
krəәm	kim
krəәm	kim
krəәn	kin
kriŋ 	kin
kriŋ	kin
Ckəәn	kj+n
kəәr	kj+n
tsin	tsin
grəәr	gin
grəәr	gin
Cəәkəәmʔ	kim
kəәrʔ	kj+n
kəәrʔ	kj+n
Cqinʔ 	kjin
tsinʔ	tsin
mtsinʔ	dzin
Ntsinʔ	dzin
grəәr	gin
grəәr	gin
grəәr	gin
grəәr	gin
gəәr	gj+n
Nkəәrʔ	gj+n
sNkəәrʔ	gj+n
krəәm	kim
kəәrʔ	kj+n
kəәr	kj+n
tsin	tsin
tsin	tsin
graŋ	gjaen
mklˤeŋ	hean
klˤeŋ	ken
klˤeŋ	ken
kəәŋ	kin
kraŋ	kjaen
kreŋ	kjaen
kreŋ	kjaen
tseŋ	tsjen
tseŋ	tsjen
tseŋ	tsjen
mkeŋ 	gjien
kˤeŋʔ	ken
Cqraŋʔ	kjaen
Cqraŋʔ	kjaen
kraŋʔ	kjaen
kreŋʔ	kjaen
keŋʔ 	kjien
Ctseŋʔ	tsjen
Ctseŋʔ	tsjen
Ntseŋ	dzjen
mtseŋ	dzjen
mkraŋʔ 	gjaen
mkʰˤeŋ	hen
kˤeŋ	ken
Cqraŋʔ	kjaen
kraŋʔ	kjaen
kreŋ	kjaen
keŋ 	kjien
kʷˤeŋ	kwen
kʷˤeŋ	kwen
kʷʰˤeŋʔ	khwen
kmraŋʔ 	kjwaen
kriw 	kjiw
kriw 	kjiw
kriw 	kjiw
kriw 	kjiw
kiwʔ	kjiw
ku	kjuw
ku	kjuw
kuʔ	kjuw
kʷəәʔ	kjuw
kʷəәʔ	kjuw
skuʔ	kjuw
tsuʔ	tsjuw
dzuk	dzjuw
Cgʷəәʔ	gjuw
guʔ	gjuw
guʔ	gjuw
Nkʷəәʔ	gjuw
gʷəә	gjuw
kʷu	kjuw
kʷəә	kjuw
sku	kjuw
Cqa	kjo
ka	kjo
ka	kjo
ka 	kjo
kuk	kjuwk
tsʰa	tshjo
tsʰa	tshjo
tsʰa	tshjo
tsa	tsjo
tso	tsju
Nkʰok	gjowk
gok	gjowk
Cqʷit	kjwi
skʷit	kjwi
kʷˤek	kwek
kʷˤek	kwek
kʷˤek	kwek
dzaʔ	dzjo
Cqaʔ	kjo
kaʔ	kjo
kraʔ	kjo
kraʔ 	kjo
koʔ	kju
kʷaʔ	kju
mtsʰoʔ	dzju
mtsʰoʔ	dzju
Nkaʔ	gjo
ga	gjo
gak	gjo
go	gju
gʷa	gju
ka	kjo
ka	kjo
ko	kju
ko	kju
kro 	kju
kro 	kju
tsok	tsju
konʔ	kjwen
Cqʷˤinʔ	kwen
gonʔ	gjwen
kron	kjwen
kron	kjwen
kʷen	kjwien
dzot	dzjwe
gak	gjak
gut	gju
gut	gju
got	gjwo
gʷat	gjwo
kˤrok	kaewk
kˤruk	kaewk
kawʔ	kjew
Cqʷak	kjwak
Cqʷak	kjwak
kʷat	kjwej
Cəәkot	kjwo
kot	kjwo
kʷat	kjwo
Cqʷˤit	kwe
kʷˤet	kwe
kʷˤet	kwe
kʷˤet	kwe
tsewk	tsjak
Cqur	kjun
kʷəәr	kjun
Cqʷin	kjwin
Cqʷin	kjwin
Cqʷin	kjwin
krun	kwin
krun	kwin
krun	kwin
gur	gjun
grunʔ	gwin
tsur	tswin
Nəәkʰˤəәj	khoj
kʰˤəәj	khoj
Cqʰˤəәjʔ	khoj
Cqʰˤəәjʔ	khoj
Cqʰˤəәjʔ	khoj
Cqʰˤəәjʔ	khoj
Cqʰˤəәjʔ	khoj
Cqʰˤəәjʔ	khoj
Cqʰˤəәp	khoj
kʰˤəәt	khoj
kʰˤəәk	khoj
kʰˤəәk	khoj
qʰəәp	xj+j
kʰˤar	khan
kʰˤəәm	khom
kʰˤəәm	khom
kʰomʔ	khom
kʰˤomʔ	khom
kʰˤomʔ	khom
kʰˤomʔ	khom
kʰˤomʔ	khom
kʰˤomʔ	khom
Nqʰˤəәm	ngim
kʰˤar	khan
kʰˤaŋ	khan
kr̥ ˤaŋ	khan
kʰˤaŋ	khan
kʰˤu	khaw
Cqʰˤuʔ 	khaw
kr̥ ˤuʔ	khaw
kʰˤaw	khaw
kˤar	ka
kʷʰˤaj	khwa
kʰˤajʔ	kha
Nəәkʰˤat	kha
kʰˤrak	khaek
kʰˤəәk	khok
kʰˤəәk	khok
kʰˤəәŋʔ	khon
mkʰˤeŋ	hean
kʰˤeŋ	khean
kʰˤoŋ	khuwn
kʰoŋʔ	khjown
kʰˤoŋʔ	khuwn
kʰˤoŋʔ	khuwn
kʰˤoŋ	khuwn
kʰˤoʔ	khuw
kʰˤoʔ	khuw
kʰˤo	khuw
kʰˤoʔ	khuw
kʰˤa	khu
kʰˤok	khuwk
kʰˤut	khwo
kʰˤut	khwo
kʰˤaʔ	khu
kʰˤuk	khowk
kʰˤa	khu
kʷʰˤa	khu
kʷʰˤra	khwae
kʷʰˤra	khwae
kʰˤrut	khweaj
kʷʰˤret	khwaej
kʰrop	khwaej
kʰˤuj	khweaj
kʰˤuj	khwoj
Ckˤop	kwaj
kˤop	kwaj
kˤop	kwaj
kˤop	kwaj
kˤop	kwaj
kʷʰˤan	khwan
kpʰaŋ	khjwan
kpʰaŋ	khjwan
kɢʷaŋ	gjwan
km̥  ˤaŋ	khwan
kʷʰˤaŋ	khwan
kʷʰˤaŋ	khwan
kʷʰˤaŋ	khwan
m̥  aŋ	xjwan
m̥  aŋ	xjwan
kʷʰaj	khjwe
kʷʰe	khjwie
gʷij	gjwij
gʷijʔ	gjwij
gʷrij	gwij
gʷru	gwij
gʷru	gwij
gʷru	gwij
gʷru	gwij
kʷʰˤij	khwej
kʰˤuj	khwoj
kʰˤuj	khwoj
kʰˤuj	khwoj
gruj	gwij
gruj	gwij
gruj	gwij
gʷˤəәj	hwoj
kʷʰˤrəәt	khweaj
kʰˤruj	khweaj
kʷʰrəәt	khwij
kruj	kwij
ŋˤruj	ngweaj
kʰˤun	khwon
kˤun	kwon
kˤun	kwon
kʰˤunʔ	khwon
kʰˤunʔ	khwon
kʰˤun	khwon
kʷʰˤak	khwak
kʷʰˤak	khwak
kʰˤot	khwa
kʷʰˤat	khwa
Crˤap	la
krˤap 	la
məәrˤat 	la
məәrˤat 	la
rˤəәp	lo
rˤəә	loj
məәrˤəәk 	loj
məәrˤəәk 	loj
Crˤat	laj
rˤat	laj
rˤat	laj
rˤat	laj
rˤəәk	loj
rˤanʔ	lan
Nkrˤam	lam
krˤam	lam
rˤan	lan
krˤan	lan
rˤəәm	lom
Nkəәrˤanʔ	lan
rˤan	lan
rˤan	lan
Crˤaŋ	lan
rˤaŋ	lan
rˤaŋ	lan
rˤaŋ	lan
rˤaŋ	lan
rˤaŋ	lan
rˤaŋ	lan
rˤaŋ	lan
raŋ	ljan
krˤaŋʔ	lan
rˤaw	law
Crˤuʔ	law
rˤaw	law
rˤawk	lak
rˤawk	lak
rˤawk	lak
rˤəәk	lok
rˤəәk	lok
roj	ljwe
roj	ljwe
ruj	lwij
Crˤuj	lwoj
Crˤuj	lwoj
rˤuj	lwoj
roj	ljwe
rojʔ	ljwe
rujʔ	lwij
rujʔ	lwij
rˤəәk	lok
rəәp	lwij
rut	lwij
rut	lwij
rˤuj	lwoj
rˤij	lej
rˤij 	lej
rˤij	lej
rəә	li
rəә	li
prəә	li
prəә	li
Crəәj	lij
rij	lij
raj	lje
raj	lje
raj	lje
re	lje
nrəәj	nrij
rˤijʔ	lej
rˤijʔ	lej
rəәʔ	li
Crəәʔ	li
mrəәʔ	li
mrəәʔ	li
mrəәʔ	li
məәrəәʔ	li
rˤawk	lak
rˤat	la
rˤe	lej
rˤet	lej
rˤep	lej
rˤəәp	lej
rˤek	lek
rˤek	lek
rˤewk	lek
rˤewk	lek
rˤewk	lek
rˤewk	lek
krˤek	lek
krˤek	lek
krˤek	lek
rəәʔ	li
Crit	lij
krəәk	lik
krəәp	li
krəәp	li
prəәp	li
rit	li
Craj	lje
raj	lje
rat	ljej
rat	ljej
rat	ljej
rat	ljej
rat	ljej
məәrat	ljej
r̥ ewk 	syak
krˤen	len
rˤiŋ	len
rem	ljem
ram	ljem
rem	ljem
rem	ljem
rem	ljem
rem	ljem
Cran	ljen
ran	ljen
ran	ljen
ramʔ	ljem
rˤen	len
rˤen	len
ram	ljem
kran 	ljen
ronʔ	ljwen
ron	ljwen
Craŋ	ljan
raŋ	ljan
raŋ	ljan
raŋ	ljan
raŋ	ljan
raŋ	ljan
praŋʔ	ljan
raŋ	ljan
raŋ	ljan
raŋ	ljan
rˤew	lew
rˤiw	lew
rˤew	lew
raw	ljew
rap	lje
rap	lje
Crat	lje
ret	lje
rat	lje
rat	lje
rum	lim
rəәm	lim
rəәm	lim
rəәn	lin
Crəәn	lin
rəәn	lin
rəәmʔ	lim
primʔ	lim
primʔ	lim
primʔ	lim
məәrəәn	lin
rˤeŋ	len
rˤiŋ	len
rˤiŋ	len
rəәŋ	lin
rəәŋ	lin
rəәŋ	lin
prəәŋ	lin
riŋ	ljen
reŋʔ	ljen
riŋ	ljen
riw	ljiw
Cru	ljuw
riw	ljuw
riw	ljuw
ru	ljuw
məәru	ljuw
ru	ljuw
ruʔ	ljuw
riw	ljuw
kruk	ljuwk
məәroŋ	ljown
ruŋ	ljuwn
ruŋ 	ljuwn
Crˤoŋ	luwn
krˤoŋ	luwn
roŋʔ	ljown
krˤoŋʔ	luwn
ro	lju
Nəәrˤok	luw
rˤo	luw
rˤo	luw
ra	ljo
Crˤa	lu
rˤa	lu
rˤa	lu
rˤa	lu
Crˤaʔ	lu
rˤaʔ	lu
rˤaʔ	lu
rˤaʔ	lu
rˤaʔ	lu
rŋˤaʔ 	lu
rok	ljowk
rok	ljowk
riwk	ljuwk
ruk	ljuwk
Cəәrˤak	lu
rˤak	lu
prˤak	lu
rˤok	luwk
rˤok	luwk
rˤok	luwk
rˤok	luwk
rˤok	luwk
məәrˤok	luwk
pəәrˤok	luwk
məәrˤon	lwan
məәrˤon	lwan
rˤon	lwan
rˤon	lwan
məәrˤon	lwan
sron	srjwen
sron	srwaen
krˤorʔ 	lwa
krˤorʔ	lwan
rˤon	lwan
rˤon	lwan
run	lwin
run	lwin
run	lwin
krun	lwin
rˤun	lwon
rˤun	lwon
rˤot	lwa
Crˤaj 	la
rˤaj	la
krˤoj 	lwa
krˤoj	lwa
rˤorʔ	lwa
rˤorʔ	lwa
rˤorʔ 	lwa
rˤorʔ 	lwa
rˤak	lak
kəәrˤak	lak
rˤawk	lowk
ra	ljo
rijʔ	lij
raʔ	ljo
raʔ	ljo
raʔ	ljo
roʔ	lju
ro	lju
ra	ljo
pəәrok	ljowk
rut	lwi
rut	lwi
rut	lwi
rak	ljak
Cmˤraj	mae
mˤraʔ	mae
Cmˤra	mae
mrˤəә	meaj
mrˤəә	meaj
mˤrəә	meaj
mˤrajʔ	mea
mˤrat	maej
mˤrajʔ	mea
Cmˤik	meak
Cmˤik	meak
mrˤəәk 	meak
mˤron	maen
mˤor	man
mˤonʔ	man
mˤran	maen
mˤan	man
mˤan	man
mˤan	man
man	mjon
mˤaŋ	maen
mˤroŋ	maewn
mˤroŋ	maewn
mˤroŋ	maewn
mˤroŋ	maewn
mˤroŋ	maewn
mˤaŋ	man
mˤaŋ	man
maŋ	mjan
Cmˤraw	maew
Cmˤru	maew
Cmˤaw	maw
mˤaw	maw
mu	mjuw
mˤruʔ	maew
mˤruʔ	maew
mˤruʔ	maew
mˤrawk	maew
mˤuk	maewk
mˤaw	maw
mˤuk	maw
mˤuk	maw
mˤuk	maw
mˤuk	maw
mru	muw
mrəәr	mij
Cmˤəә	mwoj
Cmˤəә	mwoj
mˤəә	mwoj
mˤəәj	mwoj
mrəәjʔ	mij
mˤurʔ	mwoj
mˤəәrʔ	mwoj
mˤəәʔ	mwoj
kmˤet 	kwe
mˤrəәt	meaj
mrəәt	mij
mrəәjʔ	mij
kmet	mjiej
mit	mjij
Cmˤəәt	mwoj
mˤut	mwoj
mˤəәn	mwon
mˤur	mwon
mˤur	mwon
mˤəәn	mwon
mˤəәr	mwon
mˤəәr	mwon
mˤonʔ	man
mˤraŋ	maen
mˤriŋ	mean
mraŋ	mjaen
mˤoŋ	muwn
mˤrəәŋʔ	mean
mˤraŋ	maen
Cməәŋ	mjuwn
mŋˤe	mej
mˤij	mej
mrij	mij
Cmaj	mje
maj	mje
mnəәr	mjie
mner	mjie
mner	mjie
mner	mjie
mnəәrʔ	mjie
mˤejʔ	mej
mnˤerʔ	mej
majʔ	mje
majʔ	mje
majʔ	mje
majʔ	mje
mŋeʔ	mjie
mnerʔ	mjie
mejʔ	mjie
mnˤik	mek
mˤek	mek
mˤek	mek
mˤek	mek
mrit	mi
mit	mji
mit	mji
mit	mji
mˤin	men
meŋ 	mjien
mˤenʔ	men
mranʔ	mjen
mrorʔ	mjen
mrorʔ	mjen
mrorʔ	mjen
mnerʔ	mjien
menʔ	mjien
Cmen	mjien
maw	mjew
mˤrawk	maewk
mewʔ	mjiew
mewʔ	mjiew
mewʔ	mjiew
mraw	mjew
mew	mjiew
mˤek	me
mˤet	me
met	mjie
mrun 	min
mrun 	min
mrəәn	min
mrəәn	min
miŋ	mjin
mrəәn	min
mrəәnʔ	min
mrəәnʔ	min
mrəәnʔ 	min
mraŋʔ	mjaen
min	mjin
mˤeŋ	men
mˤeŋ	men
mˤeŋ	men
mreŋ	mjaen
mraŋ	mjaen
Cmeŋ	mjien
mriŋ 	mjaen
mriw 	mjiw
mˤaj	ma
mˤa	mu
mˤa	mu
mˤaj	ma
mˤaj	ma
mˤrak	maek
mˤrak	maek
mˤak	mak
mˤak	mak
mˤat	ma
mˤat	ma
Cmˤəәk	mok
mˤut	mwo
mˤut	mwo
mˤut	mwo
mˤut	mwo
məә	mjuw
məәʔ	muw
ma	mju
muʔ	muw
məәʔ 	muw
məәʔ	muw
məәʔ 	muw
məәʔ 	muw
mˤak	mak
Cmuk	mjuwk
miwk	mjuwk
mruk	mjuwk
mruk	mjuwk
məәk	mjuwk
mˤak	mu
Cmˤak	mu
mˤak	mu
Cmˤok	muwk
nˤra	nrae
nˤra	nrae
nˤup	no
nˤup	no
nˤəәʔ	noj
nˤəәrʔ	noj
nˤəәrʔ 	noj
nˤəәʔ	noj
nˤat	naj
nˤəә	noj
nˤar	nan
nˤəәm	nom
nˤəәm	nom
nˤrarʔ	nraen
nˤar	nan
nˤaŋ	nan
nˤaŋʔ	nan
nˤu	naw
nˤu	naw
nˤu	naw
nˤrew	nraew
mqʰˤrewʔ	nraew
nˤawʔ	nraew
nˤrew	nraew
nˤuʔ	naw
nˤrəәk	nreak
nˤut	nwo
not	nywe
nˤujʔ	nwoj
nˤup	nwoj
nˤəә	noj
nˤəә	non
nˤəә 	non
mŋˤe	mej
Cnˤəәj	nej
nˤer	nej
nˤəәrʔ	nej
nˤəәr	nej
nˤəәrʔ	nej
ŋˤe	ngej
nrəәj	nrij
nrəәj	nrij
ŋəәʔ 	ngi
nəәrʔ	nrij
nəәrʔ	nrij
nˤewk	nek
ŋrak	ngjaek
ŋrak	ngjaek
nrij	nrij
nrəәk	nrik
nik	nri
nik	nri
nik	nri
nik	nri
Cnˤiŋ	nen
ranʔ	ljen
nranʔ	nrjen
nˤim	nem
tˤiwʔ	tew
kəәnˤewk	new
kəәnˤewk	new
ŋˤet	nge
ŋˤet	nge
ŋˤet	nge
ŋat	ngje
ŋat	ngje
ŋret	ngje
nep	nrje
nrep	nrje
nrep	nrje
nˤeŋ	nen
nˤeŋ	nen
ŋəәŋ 	ngin
nˤeŋ	nen
nˤiŋ	nen
ŋʷəә 	ngjuw
Cəәnuʔ	nrjuw
nuʔ	nrjuw
Cnˤuŋ	nown
nˤoŋ	nown
noŋ	nrjown
rˤoŋ	luwn
nˤok	nuw
nˤok	nuw
nˤa	nu
Cnˤaʔ	nu
Cnˤaʔ	nu
Cnˤaʔ	nu
nˤar	na
nˤar	na
nˤar	na
nˤarʔ	na
nˤak	nak
nraʔ	nrjo
nraʔ	nrjo
nraʔ	nrjo
ŋawk	ngjak
qˤo	uw
qˤoʔ	uw
Cŋˤoʔ	nguw
ŋˤoʔ	nguw
ŋˤoʔ	nguw
bˤra	bae
bˤra	bae
məәpʰˤrak	phaek
Cəәbˤre	bea
bˤrəәj	beaj
pˤran	paen
pʰˤran	phaen
bˤar	ba
bˤan	ban
bˤar	ban
mpʰˤan	ban
pʰˤan	phan
bˤroŋ	baewn
bˤaŋ	ban
bˤaŋ	ban
bˤaŋ	ban
bˤaŋ	ban
bˤaŋ	ban
pʰˤaŋ	phan
pʰˤrew	phaew
bˤru	baew
mpˤu	baw
brəә	bij
bˤat	baj
bˤəәk	bwoj
pʰˤat	phaj
pʰˤəәj	phwoj
prit	pij
bˤəәn	bwon
pqʰˤraŋ	phaen
pqʰˤraŋ	phaen
Cbˤraŋ	baen
bˤəәŋ	bon
Cbˤoŋ	buwn
bˤom	buwn
bˤoŋ	buwn
brəә	bij
pʰrəә	phij
məәpʰaj	phje
pʰaj	phje
bˤe	bej
baj	bje
braj	bje
mpaj	bje
mpe	bjie
bij	bjij
bij	bjij
praj	pje
bek	bjiek
pʰeʔ	phjie
pʰit	phji
bˤek	bek
pʰˤit	phej
pʰaj	phje
pʰek	phjie
pʰek	phjiek
pʰen	phjien
pʰen	phjien
pʰen	phjien
bˤer	ben
ben	bjien
ben	bjien
mpʰer	bjien
pʰˤen	phen
phen	phjien
pʰˤew	phew
bew	bjiew
mpew	bjiew
pʰew	phjiew
brəәn	bin
bin	bjin
mpin	bjin
pʰrəәmʔ	phim
birʔ 	bjij
birʔ	bjin
pr̥ eŋ	phjien
pleŋ	pjien
pl̥ ˤeŋ	phen
bˤeŋ	ben
bˤeŋ	ben
bˤeŋ	ben
bˤeŋ	ben
brəәŋ	bin
brəәŋ	bin
brəәŋ	bin
breŋ	bjaen
mbreŋ	bjaen
Cəәbəәŋ	bjuwn
pʰˤaj	pha
bˤaj	ba
bˤar	ba
bˤar	ba
Cəәpˤrak	paek
pʰˤaj	pha
pʰˤrak	phaek
pʰˤrak	phaek
pʰˤak	phak
pʰˤoʔ	phuw
pʰa	phju
pʰok	phju
pʰok	phjuw
pʰˤa	phu
pʰˤa	phu
pʰˤok	phuw
pʰˤok	phuwk
bˤa	bu
bˤa	bu
bˤok	buwk
pˤok	puwk
pʰˤrok	phaewk
pʰˤaʔ	phu
mpˤawk	buwk
mpˤawk	buwk
gəә	gi
kʰəә	khi
snˤəәr	sej
snˤəәr	sej
tsʰˤəәj	tshej
tsʰˤəәj	tshej
stʰˤiwk	tshek
stʰˤiwk	tshek
stʰˤiwk	tshek
stʰˤiwk	tshek
stʰˤiwk	tshek
stʰˤiwk	tshek
tsʰəәp	tshi
tsʰit	tshi
tsʰit	tshi
tsʰit	tshi
dzˤij	dzej
dzˤəәj	dzej
dzˤəәj	dzej
dzˤəәj	dzej
dzˤij	dzej
gəә	gi
gəә	gi
gəә	gi
gəә	gi
gəә	gi
gəә	gi
gəә	gi
gəә	gi
gəә	gi
grij	gij
grij	gij
grij	gij
grəәj	gij
Cgəәj 	gj+j
