kor	wuu
_	tʰsonxxotɕʰ
_	tʰsonnäu
_	tsr
_	tsrtɤu
_	tʰsrɻ̩
_	tʰsrɻ̩litɕʰ
_	tʰsr
_	tʰsätɕʰ
_	tʰin
_	tʰʂon
_	tʰsän
_	tʰsänkʰxɤu
_	tsənvätɕʰ
_	tʰsäu
_	tsäuɕi
_	tsäusr
_	tʰsän
_	tsän
_	tsänxxuɤ
_	tiäu
_	tʰsän
_	tsänkʰään
_	tsäntʰʂən
_	tsäntsən
_	tsännin
_	tsänɕɕiɤ̞u
_	tsänfätɕʰ
_	tsɤtɕʰtɕitɕʰ
_	tsən
_	sən
_	tɕin
_	tʰxon
_	tʰxonɕin
_	ŋotɕʰ
_	ŋotɕʰfätɕʰ
_	tin
_	tintʰʂo
_	tintʰʂo
_	tin
_	tʰikʰotɕʰ
_	tʰixxonin
_	ti
_	titʰsr
_	titɕin
_	tʰin
_	titɕʰ
_	tʰitɕʰ
_	tʰitɕʰ
_	titɕʰ
_	tʰitʰään
_	tʰxi
_	tʰxitɕin
_	tʰxixxuäänɕin
_	tʰxixxo
_	tʰxixxu
_	tʰxikʰxon
_	tʰxitsɤ
_	tʰxisr
_	tʰxitʰsotɕʰ
_	tʰxitʰsr
_	tʰxitsoɤ
_	tʰxivən
_	tʰxivənxxiätɕʰ
_	tʰxivəntɤ
_	tʰximin
_	tʰximən
_	tʰxipʰi
_	tʰxi
_	tʰxitɕʰi
_	tʰxiŋu
_	tʰi
_	tʰixxjoɤ
_	ti
_	tixxjoɤ
_	tikʰuään
_	titsr
_	titʰʂo
_	tiɕi
_	titsr
_	tipʰäu
_	tixxo
_	tu
_	tusɤu
_	tʰɤu
_	tukʰxɤu
_	tutsoɤ
_	tʰən
_	tʰupʰotɕʰ
_	totɕʰ
_	tʰxu
_	tʰxuɕin
_	tʰxuti
_	nu
_	nu
_	tʰonkʰo
_	tʰontʰsr
_	tʰontʰxi
_	tʰontʰʂään
_	tʰxätɕʰ
_	tʰxäu
_	tʰäuxxj
_	tʰon
_	tʰonmi
_	tʰonxxiä
_	täuxo
_	tʰxään
_	tʰən
_	tʰənlon
_	tʰən
_	oɤtʰätɕʰ
_	ton
_	tään
_	tään'niäupin
_	tʰon
_	tʰxäulən
_	tʰxäukʰä
_	tɤu
_	tsrxxu
_	tɤuvu
_	tɤuxxiɤ̞u
_	tɤu
_	tɤutɕin
_	tɤutʰxon
_	tonvɤtɕʰ
_	ton
_	tontʰsr
_	tontsr
_	tontsən
_	tonɕinɤ
_	tonmən
_	tonxxotɕʰ
_	tään
_	täänɕionti
_	ton
_	tonkʰxon
_	ton
_	tonxxo
_	täu
_	täutɕj
_	täuli
_	täulu
_	ton
_	tonɕɕiɛn
_	tʰɤtɕʰ
_	tɤtɕʰpitɕʰ
_	totɕʰ
_	xxin
_	xxiɤ̞u
_	tən
_	noɤ
_	noɤkʰo
_	noɤɕi
_	noɤpʰotɕʰ
_	noɤxxiɛn
_	noɤkʰotɕʰ
_	nɤ
_	nɤtäu
_	tsr
_	ni
_	nixxjtɕʰ
_	nitsɤtɕʰ
_	nikʰu
_	njotɕʰ
_	niotɕʰtɕiɛn
_	nitɕʰ
_	nitɕʰin
_	tsɤtɕʰtɕi
_	tsɤtɕʰxxjtɕʰɕintsən
_	tsɤtɕʰnjj
_	nitɕʰkʰuään
_	nitɕʰnitɕʰ
_	tsɤtɕʰvən
_	tsrxxu
_	tsɤtɕʰtsän
_	nitɕʰso
_	tsrlɤ
_	'niäu
_	nin
_	tsənvu
_	ninsɤtɕʰ
_	nitɕʰ
_	nitɕʰ
_	ni
_	xxjtɕʰtʰʂu
_	nipʰu
_	ni
_	njɤ̞tɕin
_	nɤ
_	non
_	non
_	nonnitɕʰ
_	nontsän
_	nonfu
_	nonmin
_	pʰo
_	pʰu
_	pʰutsän
_	pʰxä
_	pʰxätʰʂɤtɕʰsu
_	pʰxätɤu
_	pʰxä
_	pʰotɕiäusoɤ
_	mo
_	'motʰso
_	'mätsään
_	pätɕtɕiɤ̞u
_	pälitɕʰ
_	pä
_	päpʰotɕʰ
_	pä
_	pʰɤxɤu
_	pʰɤkʰuään
_	pɤsr
_	fi
_	pɤ
_	mɤxo
_	mɤtʰʂi
_	mätʰsr
_	mäpɤ
_	tʰʂən
_	pʰätɕʰ
_	pʰätɕʰvu
_	pʰätɕʰmm
_	pʰotɕʰtsr
_	pʰotɕʰvɤtɕʰ
_	pʰotɕʰvɤtɕʰkʰuoɤ
_	pʰätɕʰ
_	pʰxätɕʰ
_	potɕʰ
_	pätɕʰ
_	pätɕʰi
_	pätɕʰkʰu
_	pätɕʰnitɕʰlɤ
_	pätɕʰtʰsr
_	pätɕʰtsr
_	pätɕʰtɕiɤ̞u
_	pätɕʰsɤtɕʰ
_	pätɕʰtsɤtɕʰmon
_	pätɕʰlu
_	pätɕʰxxo
_	pätɕʰfätɕʰ
_	puxu
_	ɕiɛntʰsr
_	tsr
_	pʰätɕʰ
_	pʰätɕʰxxjtɕʰ
_	vätɕʰ
_	kʰɤtɕʰli
_	pʰxoɤ
_	pʰxoɤkʰuoɤ
_	pʰoɤ
_	pʰoɤtʰxi
_	pʰoɤtʰäu
_	pʰoənitɕʰ
_	pʰoɤxxiä
_	pʰoɤxxiäsɤkʰän
_	fɤ
_	fɤxxuɤ
_	fɤin
_	fɤtʰɤ
_	fɤin
_	vɤtsoɤ
_	pʰɤ
_	pʰɤ
_	vɤtsoɤ
_	vənin
_	pʰɤ
_	pʰɤtʰsän
_	pʰɤtɤu
_	vənäu
_	fɤ
_	poɤ
_	fɤu
_	fɤu
_	fi
_	pʰxipin
_	pʰi
_	pi
_	pifu
_	pʰɤ
_	pʰisr
_	pʰimitɕʰ
_	viliäu
_	pɤkʰäu
_	fitsän
_	fitɤ
_	finin
_	vi
_	pitɕʰpotɕʰ
_	pipo
_	mimäu
_	'mɤ
_	'mənj
_	pʰitɕʰɕj
_	pʰitɕʰiäu
_	pʰitɕʰtɕin
_	pʰitɕʰ
_	pʰitɕʰton
_	pʰätɕʰ
_	pʰätɕʰxxɤtɕʰ
_	pʰätɕʰxxɤtɕʰxo
_	pʰätɕʰɕin
_	pʰätɕʰvən
_	pʰätɕʰvənpʰi
_	pʰätɕʰvɤ
_	pʰiäunjj
_	pʰiäutʰsən
_	pʰxiäu
_	pʰiäu
_	pʰiäuɕionti
_	pʰiäutsr
_	miäu
_	pin
_	pinxxjoɤ
_	pintotɕʰ
_	miäu
_	pʰxin
_	pʰxinxxuɤ
_	pʰin
_	pʰɤtɕʰ
_	pʰɤtɕʰkʰxusrni
_	pʰɤtɕʰkʰu
_	pʰɤtɕʰtʰäuon
_	pʰɤtɕʰläu
_	futɕʰi
_	fu
_	pʰu
_	fu
_	fu
_	pʰxutʰxon
_	vu
_	vutɕʰin
_	vumu
_	vuxxion
_	fu
_	vu
_	vutɕtɕin
_	vulotɕʰ
_	vutɕʰi
_	vutsɤtɕʰ
_	xxutäu
_	putäu
_	putäutɕiɤ̞u
_	pu
_	puvən
_	fon
_	fontɕi
_	fon
_	fonxxjn
_	fontɕtɕin
_	fonɕitɕʰ
_	fontʰʂo
_	fontʰʂo
_	fonsɤtɕʰ
_	fontsən
_	fonsr
_	fontsäu
_	fonɕiɛn
_	votɕʰ
_	votɕʰ
_	votɕʰvu
_	fotɕʰ
_	fotɕʰvən
_	mɤtɕʰtɕi
_	vɤtɕʰtʰsɤtɕʰ
_	fən
_	fəntɕiä
_	fənɕitɕʰ
_	vənliɛn
_	fənlɤ
_	fənsu
_	pʰxəntʰxi
_	vənmu
_	pʰɤ
_	fən
_	fəntʰʂr
_	fənpʰitɕʰ
_	fən
_	vən
_	vənxo
_	vəntɕtɕi
_	vəntʰsään
_	vənvu
_	vənfätɕʰ
_	vənmin
_	vənxxiätɕʰ
_	pʰin
_	pʰinxxiotɕʰ
_	pintsän
_	pinsu
_	pinti
_	pinnjɛn
_	misɤtɕʰ
_	pʰitɕʰ
_	pʰitɕʰxu
_	pʰxitɕʰ
_	pʰitɕʰ
_	pɤtɕʰ
_	pitɕʰkɤtɕʰ
_	pitɕʰnin
_	pʰxiɕin
_	pʰxi
_	pʰi
_	pi
_	pi
_	pini
_	pʰäu
_	pʰäuxxu
_	pʰäutsən
_	pʰäuliɤ̞u
_	pʰäuɕi
_	mu
_	xxu
_	mu
_	munjj
_	mutɕʰin
_	pʰäu
_	pʰäukʰuätɕʰ
_	pʰäukʰäu
_	fään
_	fääntʰʂɤtɕʰ
_	fäänxxotɕʰ
_	fään
_	fäänxxɤ
_	fääntɕin
_	fäänsɤtɕʰ
_	fääntsän
_	fäänpi
_	fäänmi
_	pänxxiɤ̞u
_	fätɕʰ
_	fätɕʰnjj
_	fätɕʰlitɕʰ
_	fätɕʰlən
_	fätɕʰkʰotɕʰ
_	pʰäui
_	fonmitɕʰ
_	von
_	vonxxuään
_	mäutʰsr
_	vään
_	päuxxj
_	päutʰsən
_	päuton
_	mään
_	määnxxjoɤtɕin
_	mu
_	pään
_	mɤuxxitɕʰ
_	pʰotɕʰ
_	pʰotɕʰtʰɤuɕin
_	pʰotɕʰmi
_	potɕʰ
_	motɕʰ
_	pʰən
_	pʰəntʰsɤtɕʰ
_	pʰənlɤ
_	pʰənkʰotɕʰ
_	vɤ
_	pən
_	mo
_	mo
_	motɕʰiätɕʰ
_	moxxiɤ̞u
_	mäjoɤ
_	mɤfu
_	mɤ
_	mu
_	motɕʰ
_	tʰsən
_	mɤtɕʰ
_	mɤxu
_	mɤxxo
_	mi
_	vilɤ
_	vitɕi
_	tsr
_	mitɕʰtusən
_	mitɕʰ
_	mitɕʰxxjtɕʰ
_	mitɕʰfon
_	mätɕʰ
_	min
_	mintʰsr
_	mintsotɕʰ
_	mintsotɕʰ
_	xxmm
_	xxuxokʰu
_	xxumintʰsr
_	vuvään
_	mɤutən
_	niɛn
_	'niänniɛn
_	min
_	mintʰsotɕʰ
_	min
_	minxxjn
_	minlin
_	minxxjtɕʰ
_	mintʰsäu
_	mini
_	minvɤ
_	milu
_	tsɤtɕʰtʰsr
_	mixo
_	mi
_	mi
_	miɕɕi
_	mäu
_	mäupʰitɕʰ
_	mäufätɕʰ
_	määntsän
_	mään
_	mon
_	motɕʰ
_	motɕʰkʰo
_	motɕʰxo
_	motɕʰxxj
_	motɕʰɕitɕʰ
_	motɕʰkʰon
_	motɕʰɕɕiɛn
_	motɕʰɕin
_	motɕʰtʰxɤ
_	motɕʰlɤ
_	motɕʰ
_	vɤtɕʰlən
_	mən
_	vənti
_	vən
_	mən
_	məntsən
_	mənɕɕi
_	mənpä
_	xxiätsrmi
_	xxiäpʰoɤ
_	xxiäxxiä
_	ŋɤtɕʰ
_	xxiotɕʰ
_	iätɕʰ
_	liɤ̞u
_	srtsɤtɕʰ
_	ion
_	xxiɤ̞u
_	iɤ̞uɕin
_	xxiɤ̞uxxj
_	itɕʰ
_	xxiɤ̞upʰxiäu
_	xxiontɕiä
_	iɤ̞utsrxxjoɤ
_	xxiɛn
_	xxiɛnxuɤ
_	xxiɛnnin
_	xxiɛntʰin
_	xxiɛnmätɕʰ
_	xxion
_	xxionpʰxin
_	xxiɛn
_	xxiɛnniotɕʰ
_	xxitɕʰ
_	xxitɕʰtʰsr
_	iäu
_	iäutɕtɕiɤ̞u
_	xxiɛn
_	xxiɛntʰsr
_	xxitɕʰ
_	lu
_	lotɕʰkʰxon
_	lu
_	loɤtʰsr
_	lɤ
_	li
_	li
_	li
_	li
_	li
_	lotɕʰtɕjn
_	litɕʰ
_	litɕʰsr
_	litɕʰ
_	litɕʰkʰxɤtɕʰ
_	litɕʰtʰon
_	liätɕʰ
_	liɤ̞u
_	liɤ̞uɕin
_	liɤ̞usoɤ
_	liɤ̞uxxuään
_	litɕʰtʰsr
_	lon
_	lj
_	liäu
_	liɛn
_	liɛntsɤtɕʰ
_	liɛn
_	liɛn
_	lin
_	lin
_	lintsr
_	litɕʰ
_	lin
_	lin
_	lən
_	lɤ
_	lɤ
_	lin
_	li
_	län
_	lin
_	litɕʰ
_	li
_	liɕɕitɕʰ
_	li
_	li
_	li
_	likʰä
_	li
_	lon
_	lɤu
_	'läusr
_	läutɕiɤ̞u
_	läunin
_	läupu
_	läuniɛn
_	lotɕʰ
_	lotɕʰtsɤtɕʰ
_	lən
_	lənvən
_	u
_	xxu
_	xxupin
_	tʰʂən
_	tsənkʰxätɕʰ
_	tʰʂəntʰʂo
_	loɤ
_	iätʰsɤu
_	tsəntɕtɕiɤ̞u
_	vɤtɕʰ
_	vɤtɕʰtu
_	tʰsrtsr
_	tɕiäfätɕʰ
_	xxuɤ
_	kʰuɤtɕi
_	tsoɤ
_	tsoɤtsoɤ
_	tsoɤtʰxon
_	tsoɤtäu
_	nitʰsr
_	xxɚton
_	tɕi
_	tʰʂr
_	tʰʂrsr
_	xxuään
_	tɕitʰäu
_	tɕi
_	läuton
_	xxätɕʰ
_	ɤu
_	tɕʰjxxiotɕʰ
_	tɕjoɤ
_	tɕjoɤtʰsr
_	sɤ
_	sään
_	kʰxotɕʰ
_	tʰɤ
_	tʰɤsu
_	uxu
_	xxion
_	xxinnitɕʰ
_	tʰsr
_	tʰsotɕʰ
_	kʰotɕʰ
_	kʰotɕʰxxuään
_	kʰotɕʰtɕiä
_	kʰotɕʰnjj
_	kʰotɕʰtɕi
_	kʰotɕʰsɤtɕʰ
_	kʰotɕʰvən
_	kʰotɕʰmin
_	xxjoɤ
_	toɤ
_	tusr
_	tusrkʰuoɤ
_	tutʰsään
_	ätɕʰ
_	tsɤu
_	xxjnvu
_	xxotɕʰ
_	xxiätɕʰkʰxu
_	xxiätɕʰxxiäu
_	xxotɕʰɕɕitɕʰ
_	xxotɕʰsän
_	xxotɕʰtu
_	xxotɕʰtään
_	xxotɕʰfi
_	ɕiä
_	pʰäu
_	tɕiɛn
_	tɕiɛntɕjn
_	tɕiɛnlɤ
_	tʰsoɤmən
_	tʰɤ
_	tʰɤmi
_	tʰsotɕʰ
_	tʰä
_	kʰuään
_	kʰuäänkʰäu
_	kʰuääntsän
_	kʰuäänpʰu
_	tʰxin
_	tɤ
_	tɤxo
_	tɤtɕtɕin
_	xxuɤɕin
_	tʰʂon
_	tsonɕɕi
_	otɕʰ
_	tʰʂɤ
_	tʰʂɤxuɤ
_	kʰu
_	ɕitɕʰ
_	tʰsoɤtsr
_	tʰsoɤtʰʂo
_	tʰsoɤtsän
_	tʰsoɤtʰsən
_	pätɕʰxxu
_	pʰä
_	'mutʰsr
_	kʰɤɕi
_	sɤutʰsr
_	sɤutsɤtɕʰ
_	su
_	su
_	sutsr
_	suxxiätɕʰ
_	pʰi
_	pʰixo
_	pʰiɕi
_	pʰitʰxi
_	toɤ
_	toənä
_	pään
_	tɕin
_	tiäu
_	tiäutɕtɕi
_	tiäuiätɕʰ
_	vənjj
_	iätʰsr
_	xxiätɕʰ
_	tɕtɕjoɤ
_	tɕtɕjoɤli
_	tɕtɕjoɤlitɕʰ
_	xxiɛn
_	lɤu
_	kʰɤlɤ
_	tsän
_	kuɤ
_	pʰinlään
_	äntäu
_	ɤutʰsɤu
_	xuoɤɕi
_	xuoənin
_	kʰuɤmɤ
_	kʰxotɕʰ
_	xxäu
_	tʰxɤ
_	tʰxɤtʰsr
_	tɕʰi
_	tɕʰitɕiɤ̞u
_	tɕʰixxɤu
_	tɕʰitʰsɤtɕʰ
_	tɕʰimi
_	tɕʰitʰxi
_	ɕɕinsr
_	moɤ
_	moɤtʰsɤu
_	kʰuoɤ
_	tsɤtɕʰɕiä
_	sɤtɕʰ
_	ɕiä
_	potɕʰpʰu
_	uɤ
_	tʰʂäu
_	päu
_	lu
_	ɕɕiɛntɤu
_	ɕɕiɛnpʰitɕʰ
_	totɕʰlitɕʰ
_	pʰuli
_	pʰɤ
_	xxo
_	tʰään
_	tʰäänsr
_	tʰääntʰson
_	titɕʰ
_	tɤ
_	kuɤ
_	fätɕʰ
_	fätɕʰxxjtɕʰ
_	fätɕʰin
_	fätɕʰ
_	fätɕʰxxi
_	fätɕʰ
_	fätɕʰtätɕʰ
_	fätɕʰtʰsoɤ
_	fätɕʰ
_	xxätɕʰ
_	xxätɕʰtʰsr
_	ɕɕinkʰənŋä
_	'ni
_	tʰsä
_	tsoɤ
_	li
_	livɤtɕʰ
_	lipʰä
_	säusäu
_	täuti
_	tsɤ
_	tʰsən
_	tʰsən
_	lon
_	tʰsoɤ
_	numi
_	srkʰo
_	srtʰsotɕʰ
_	tɕin
_	tɕintsän
_	tɕinli
_	tɕintɕi
_	tʰson
_	tʰsontʰxon
_	tsɤumɤu
_	toɤtʰsr
_	xxjoɤ
_	tʰson
_	xxuɤ
_	tɕitsotɕʰ
_	tsotɕʰ
_	tɕʰjtɕʰ
_	fitʰʂoɤ
_	sən
_	sənin
_	səntiäu
_	tʰʂonmin
_	tʰxinkʰään
_	kʰäänmən
_	kʰäänmən
_	pi
_	näu
_	päänkʰuään
_	tʰɤ
_	lätɕʰɕitɕʰ
_	lätɕʰmɤ
_	tɤ
_	tɕtɕiɤ̞u
_	tɕtɕiɤ̞uni
_	määntʰson
_	pʰäu
_	xxuɤɕiɛn
_	xuntʰʂɤ
_	mɤ
_	vɤsoɤ
_	ɕɕiɛnvi
_	tɕäkʰxɤu
_	nitsɤtɕʰ
_	xxiätɕʰ
_	xxiätɕʰtʰi
_	xxiätɕʰpʰxin
_	xxiätɕʰvään
_	luxxuɤ
_	lutɤu
_	lopotɕʰ
_	xxäu
_	kʰxuɤtɕʰi
_	tɕʰiɤ̞uxxin
_	xxuɤtson
_	xxukʰon
_	kʰuniɤ̞u
_	xxuään
_	xxuääntson
_	pʰifotɕʰ
_	täänlään
_	tson
_	pɤtäu
_	kʰu
_	päu
_	tɕtɕiɤ̞u
_	tɕtɕjn
_	tɕiätɕʰŋu
_	kʰotɕʰtʰɤtɕʰ
_	kʰuoɤ
_	kʰuoɤin
_	kʰuoɤinpusätɕʰ
_	kʰuoəni
_	vukʰäu
_	xxitɕʰ
_	totɕʰsr
_	uoɤtɤu
_	tʰxoɤ
_	pʰi
_	mäkʰuoɤ
_	mäkʰotɕʰ
_	tʰʂəntʰsäu
_	pɤtɕʰ
_	tsɤutsr
_	liɛn
_	tʰsoɤ
_	tsrtʰsɤtɕʰ
_	ɕiäuxxiäu
_	tsoɤ
_	xxäxxɤu
_	pʰi
_	pʰitɤu
_	tʰʂu
_	i
_	ixxjoɤ
_	itɕiä
_	isän
_	iliäu
_	sɤtɕʰ
_	ɕɕi
_	tʰxitɕʰ
_	tʰxitɕʰtʰxätɕʰ
_	tʰxitɕʰtäu
_	tʰxitɕʰlu
_	kʰuɤ
_	kʰuɤɕi
_	kʰuɤɕin
_	kʰuɤtɕitɕʰ
_	tsoɤtäu
_	insr
_	tsɤtɕʰtʰsr
_	lin
_	linxxun
_	ɕɕin
_	xxä
_	tɕʰiɤ̞utɕʰi
_	tɕtɕjoɤkʰuɤtɕʰ
_	tɤfon
_	tɕtɕjfon
_	xxj
_	moɤtɤu
_	lotɕʰ
_	lotɕʰtu
_	xxitɕʰ
_	tʰxi
_	tʰxixxjtɕʰ
_	tʰxitʰʂäu
_	ŋutʰsäänfon
_	änvu
_	änkʰu
_	xxi
_	tɕtɕilin
_	tʰi
_	tʰiɕin
_	tʰi
_	tʰään
_	tʰʂr
_	tɕtɕjlotɕʰpu
_	nɤ
_	nɤxxään
_	nɤxxion
_	nɤtsän
_	xxu
_	kuɤ
_	njjlotɕʰ
_	tʰɤtɕʰ
_	tʰɤtɕʰkʰotɕʰ
_	xxu
_	xxuän
_	pu
_	soɤ
_	litɕʰ
_	litɕʰsr
_	mɤ
_	'mənitɕʰ
_	'məni
_	untutɕi
_	pɤ
_	tʰxɤxuoɤ
_	soɤ
_	lotɕʰsɤtɕʰ
_	xxjoɤ
_	ɕiäuxo
_	tʰxɤtɕʰli
_	tʰxɤtɕʰkʰään
_	ɕjn
_	xɤ
_	pänxä
_	lätɕʰ
_	lätɕʰtʰsr
_	xxjtɕʰ
_	sɤtɕʰsr
_	tɕiɛn
_	tɕiɛnxxiɤ̞u
_	lotɕʰ
_	lotɕʰin
_	tɕiniotɕʰ
_	mi
_	xxuään
_	xxuäänkʰo
_	xxuäänniɤ̞u
_	xxuäänsɤtɕʰ
_	xɤtɕʰ
_	xɤtɕʰsɤtɕʰ
_	xɤtɕʰpätɕʰ
_	xɤtɕʰpʰɤ
